Country_name,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015
Kyrgyz Republic,33,31.7,30.1,28.4,26.5,24.6,22.9,21.4,20.1,19
Cambodia,49.8,46.5,43.3,40,36.7,33.6,30.7,28.3,26.3,24.6
Kiribati,49.5,49.5,49.3,48.9,48.3,47.5,46.6,45.6,44.6,43.6
St. Kitts and Nevis,11.7,11.2,10.8,10.4,10,9.6,9.3,9,8.7,8.4
"Korea, Rep.",4.5,4.1,3.9,3.7,3.5,3.4,3.3,3.2,3,2.9
Kuwait,10,9.8,9.7,9.5,9.2,8.9,8.5,8.1,7.7,7.3
Latin America & Caribbean (developing only),20.9,20.1,19.4,18.8,19,17.6,17.1,16.6,16.2,15.9
Lao PDR,67.8,65.5,63.2,61,59,57.1,55.4,53.7,52.3,50.7
Lebanon,11.2,10.4,9.7,9.2,8.7,8.3,7.9,7.6,7.3,7.1
Liberia,81.9,76.9,72.5,68.6,65.2,62.1,59.4,56.9,54.7,52.8
Libya,18.6,17.3,16.1,15.1,14.3,13.9,12.9,12.4,11.9,11.4
St. Lucia,14.8,14.6,14.5,14.3,14.1,13.9,13.6,13.3,13,12.7
Latin America & Caribbean (all income levels),19.9,19.1,18.5,17.9,17.9,16.8,16.3,15.9,15.6,15.2
Least developed countries: UN classification,70,67.2,64.9,62.4,60.5,58.1,56.1,54.4,52.8,51.4
Low income,73.2,70.2,67.5,65,63,60.3,58.1,56.3,54.6,53.1
Sri Lanka,11.4,10.7,10.2,9.7,9.4,9.1,8.9,8.7,8.6,8.4
Lower middle income,54,52.2,50.7,49,47.4,45.8,44.2,42.7,41.2,40
Low & middle income,48,46.4,44.9,43.4,42,40.4,38.9,37.5,36.3,35.2
Lesotho,87.5,84.3,84.5,78.8,75.2,71.9,72.3,71.9,70.5,69.2
Lithuania,7.7,7.2,6.7,6.1,5.6,5,4.5,4,3.6,3.3
Luxembourg,2.6,2.4,2.2,2,1.9,1.8,1.6,1.6,1.6,1.5
Latvia,10.1,9.6,9.1,8.6,8.2,7.8,7.6,7.4,7.2,6.9
Morocco,33.2,31.9,30.7,29.6,28.5,27.4,26.4,25.5,24.6,23.7
Monaco,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3,2.9,2.8
Moldova,16,15.5,15.2,14.9,14.7,14.5,14.3,14.1,13.9,13.6
Madagascar,50.6,47.9,45.7,43.8,42.1,40.6,39.3,38.1,37,35.9
Maldives,17.2,15.3,13.7,12.4,11.2,10.1,9.2,8.4,7.8,7.4
Middle East & North Africa (all income levels),26.9,25.9,24.9,23.9,23.1,22.2,21.6,20.9,20.2,19.7
Mexico,16.2,15.8,15.4,15,14.4,13.8,13.1,12.5,11.9,11.3
Marshall Islands,32.4,32.2,32.1,31.9,31.8,31.6,31.2,30.8,30.2,29.6
Middle income,42.7,41.3,40.1,38.7,37.4,36,34.6,33.3,32.1,31.2
"Macedonia, FYR",11.6,11,10.4,9.6,8.7,7.5,6.5,5.8,5.2,4.8
Mali,93.2,90.1,87.5,85,82.9,81,79.2,77.6,75.9,74.5
Malta,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.3,5.2,5.1
Myanmar,51.7,50.2,53.4,47.3,45.8,44.5,43.2,41.9,40.7,39.5
Middle East & North Africa (developing only),28.6,27.5,26.3,25.3,24.4,23.5,22.8,22,21.4,20.8
Montenegro,8.8,8.2,7.4,6.8,6.3,5.7,5.3,4.9,4.6,4.3
Mongolia,32.7,30.6,28.6,26.8,25,23.4,22.1,20.9,19.9,19
Mozambique,86.6,81.5,78,74.3,71.9,68.1,63.6,60.9,58.5,56.7
Mauritania,74,73.1,72.1,71.1,70.1,69.2,68.1,67.2,66.1,65.1
Mauritius,14,14.1,13.9,13.6,13.3,13.1,12.8,12.6,12.2,11.8
Malawi,67.1,64.5,61.7,59.6,57.5,53.8,50.2,47.3,45.1,43.4
Malaysia,6.9,6.9,6.9,6.9,6.8,6.7,6.6,6.4,6.2,6
North America,6.6,6.5,6.4,6.3,6.2,6,6,5.8,5.6,5.5
Namibia,44.1,42.7,41.3,39.2,37.5,36,35.5,34.3,33.4,32.8
Niger,78.7,75.2,71.9,68.9,66.1,63.7,61.6,59.8,58.4,57.1
Nigeria,93.4,90.3,87.3,84.3,81.5,78.8,76.2,73.8,71.5,69.4
Nicaragua,25.3,24.4,23.5,22.7,22,21.3,20.6,20,19.4,18.8
Netherlands,4.3,4.2,4,3.8,3.7,3.6,3.5,3.3,3.3,3.2
High income: nonOECD,14.3,13.6,13.1,12.6,12.1,11.7,11.3,10.9,10.5,10.2
Norway,3.1,3,2.9,2.7,2.6,2.5,2.3,2.3,2.2,2
Nepal,44.1,42,40,38.1,36.3,34.6,33.1,31.7,30.5,29.4
New Zealand,5.3,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7
High income: OECD,5.1,5,4.9,4.8,4.7,4.5,4.5,4.3,4.2,4.1
OECD members,8.3,8,7.7,7.4,7.2,6.9,6.6,6.4,6.1,5.9
Oman,10.6,10.4,10.2,10.1,10,10,10,10,10,9.9
Other small states,60.2,58.6,57.2,54.6,52.3,50.5,49.3,47.8,46.6,45.5
Pakistan,78.7,77.4,76.1,74.8,73.5,72.1,70.6,69.1,67.4,65.8
Panama,19,18.5,18,17.5,17,16.5,16,15.5,15.1,14.6
Peru,20.1,19,18,17.1,16.3,15.6,14.9,14.2,13.6,13.1
Philippines,26.9,26.4,25.9,25.4,24.9,24.4,23.9,23.3,22.8,22.2
Palau,18.8,18.2,17.6,17.2,16.6,16.2,15.7,15.1,14.7,14.2
Papua New Guinea,54.7,53.8,52.7,51.6,50.3,49.2,48,47,45.7,44.5
Poland,6.3,6,5.8,5.3,5,4.7,4.6,4.5,4.5,4.5
"Korea, Dem. Rep.",25.8,25.8,25.8,25.4,24.8,23.8,22.7,21.7,20.7,19.7
Portugal,3.5,3.3,3.3,3.2,3.1,3.1,3.1,3.1,3,3
Paraguay,23.1,22.4,21.7,21,20.4,19.8,19.2,18.6,18.1,17.5
Pacific island small states,24.4,24.4,24.3,24.3,24.1,23.8,23.5,23.2,22.7,22.3
Qatar,8.6,8.4,8.1,7.9,7.7,7.5,7.3,7.2,7,6.8
Romania,16.7,15.3,14,13,12.1,11.5,10.9,10.5,10.1,9.7
Russian Federation,13.3,12.4,11.6,10.9,10.3,9.8,9.3,8.9,8.5,8.2
Rwanda,63.1,56.8,51.5,47.3,43.8,40,37.1,34.7,32.7,31.1
South Asia,56.5,54.8,53.1,51.5,49.8,48.1,46.5,44.8,43.3,41.9
Saudi Arabia,16.4,16,15.5,15.1,14.7,14.2,13.8,13.3,12.9,12.5
Sudan,58.5,57.1,55.8,54.5,53.3,52.2,51.1,49.9,48.8,47.6
Senegal,54,51.9,50,48.3,46.7,45.3,44.1,43.1,42.3,41.7
Singapore,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Solomon Islands,27.6,27.6,27.3,27,26.6,26.1,25.5,24.9,24.2,23.6
Sierra Leone,124.5,120.5,116.2,111.7,107,102.3,97.9,93.8,90.2,87.1
El Salvador,20,19.2,18.4,17.7,17.1,16.5,16,15.4,14.9,14.4
San Marino,3.6,3.4,3.3,3.2,3.1,3,2.9,2.8,2.7,2.6
Somalia,104.9,103.9,102.2,100,97.8,95.1,92.6,90.1,87.4,85
Serbia,7.3,7.1,7,6.8,6.6,6.4,6.2,6,6,5.9
Sub-Saharan Africa (developing only),76.6,73.7,70.9,68.2,65.8,63.6,61.4,59.6,57.9,56.3
South Sudan,82.4,78.9,75.7,73.1,70.6,68.3,66.1,64,62,60.3
Sub-Saharan Africa (all income levels),76.6,73.8,71,68.4,66,63.7,61.5,59.7,57.9,56.4
Small states,50.8,49.6,48.6,46.6,44.9,43.5,42.6,41.5,40.4,39.6
Sao Tome and Principe,45.6,43.9,42.4,41,39.8,38.7,37.5,36.6,35.5,34.6
Suriname,25,24.3,23.5,22.7,22.1,21.4,20.8,20.1,19.5,19
Slovak Republic,8.2,7.8,7.6,7.3,7,6.8,6.5,6.3,6.1,5.8
Slovenia,3.3,3.2,3,2.8,2.7,2.6,2.4,2.3,2.2,2.1
Sweden,2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4
Swaziland,76.8,74.7,73.2,65.8,59.1,53.6,51.5,48.4,45.8,44.5
Seychelles,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.1,11.9,11.7
Syrian Arab Republic,15.4,14.8,14.2,13.7,13.2,12.8,12.6,12.1,11.7,11.1
Chad,99.4,98.1,96.7,95.1,93.6,91.9,90.2,88.4,86.7,85
Togo,65.7,64.1,62.5,60.9,59.3,57.9,56.5,55,53.6,52.3
Thailand,14.6,14,13.4,12.9,12.5,12,11.6,11.2,10.9,10.5
Tajikistan,51.4,49.2,47.4,46,44.7,43.3,42.1,40.9,39.7,38.5
Turkmenistan,56.2,54.7,53.2,51.7,50.4,48.9,47.6,46.2,45,43.7
Timor-Leste,63.9,60.7,57.8,55.3,53.1,51.1,49.3,47.6,46.1,44.7
Tonga,14.4,14.5,14.6,14.8,15,15,15,14.9,14.7,14.4
Trinidad and Tobago,23.3,22.8,22.2,21.6,21,20.4,19.7,19.2,18.7,18.2
Tunisia,18.5,17.5,16.6,15.7,14.9,14.2,13.6,13.1,12.6,12.1
Turkey,21.7,20.2,18.9,17.6,16.4,15.3,14.2,13.2,12.3,11.6
Tuvalu,29.3,28.5,27.7,27,26.3,25.6,24.9,24.1,23.4,22.8
Tanzania,55.2,51.5,48.3,45.6,42.4,40.4,38.8,37.6,36.2,35.2
Uganda,63.4,59.2,55.4,52.3,49.5,46.3,42.5,41.6,39.1,37.7
Ukraine,12,11.6,11.1,10.6,10.1,9.6,9.1,8.6,8.1,7.7
Upper middle income,22.8,21.8,20.9,19.9,18.9,18.1,17.2,16.4,15.7,15.2
Uruguay,12,11.5,11.2,11,10.6,10.3,10,9.5,9.1,8.7
United States,6.7,6.6,6.5,6.4,6.3,6.1,6.1,5.9,5.7,5.6
Uzbekistan,44.6,43.3,42,40.8,39.6,38.4,37.2,36.1,35,33.9
St. Vincent and the Grenadines,19.2,19.2,19,18.8,18.6,18.2,17.8,17.4,17,16.6
"Venezuela, RB",15.4,15,14.7,14.5,14.3,14.1,13.8,13.5,13.2,12.9
Vietnam,22,21.4,20.8,20.3,19.8,19.3,18.8,18.3,17.8,17.3
Vanuatu,23.5,23.6,23.7,23.8,23.9,24,24,23.8,23.5,23.1
West Bank and Gaza,21.7,21.3,20.9,20.5,20.2,19.8,19.4,19,18.5,18
World,42.8,41.4,40.1,38.7,37.5,36.2,34.9,33.7,32.6,31.7
Samoa,16.4,16.2,16.1,17,16,16,15.8,15.6,15.4,15
"Yemen, Rep.",51.9,49.4,47,44.7,42.4,40.3,38.4,36.7,35.1,33.8
South Africa,50,48.6,46.6,41.1,38.2,37.1,36.8,35.3,34.4,33.6
"Congo, Dem. Rep.",93.9,91.5,89.2,86.9,84.8,82.6,80.5,78.3,76.5,74.5
Zambia,64.9,61.3,58.7,55.6,52.9,51.1,49,46.5,44.7,43.3
Zimbabwe,60.3,59.9,58.9,57.7,55.8,54,49.4,48.8,47.6,46.6
